FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,FYTD,OCT,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Conveyances,Passenger Vehicles,156
2023,FYTD,DEC,Northern Border,DETROIT,MI,"ALGONAC, MI (3814)",Land,Conveyances,Passenger Vehicles,2017
2023,Remaining,FEB,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Trucks,3661
2024,Remaining,APR,Coastal/Interior,SAN FRANCISCO,HI,"KAHULUI, HI (3203)",Air,Travelers,Air,20
2022,Remaining,JUN,Northern Border,BOSTON,ME,"FORT KENT, ME (0110)",Land,Travelers,Pedestrians,24
2022,Remaining,SEP,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Travelers,Pedestrians,171765
2023,Remaining,MAY,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Conveyances,Air,13
2022,Remaining,JUN,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Travelers,Pedestrians,3833
2023,FYTD,NOV,Coastal/Interior,TAMPA,FL,MELBOURNE REG AIRPORT (1885),Air,Travelers,Air,3337
2023,FYTD,DEC,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Travelers,Pedestrians,34
2024,Remaining,MAY,Coastal/Interior,LOS ANGELES,CA,VAN NUYS AIRPORT (2788),Air,Travelers,Air,727
2022,Remaining,SEP,Northern Border,BOSTON,CT,"HARTFORD, CT (0411)",Air,Conveyances,Air,28
2022,FYTD,DEC,Coastal/Interior,TAMPA,FL,NOT ACTIVE (1881),Air,Travelers,Air,28
2025 (FYTD),FYTD,NOV,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Travelers,Air,96
2023,Remaining,JAN,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Travelers,Trucks,8
2023,Remaining,FEB,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Conveyances,Air,21
2022,Remaining,AUG,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Travelers,Trucks,132
2022,Remaining,FEB,Northern Border,SEATTLE,WA,"LAURIER, WA (3016)",Land,Travelers,Trucks,575
2022,FYTD,DEC,Coastal/Interior,CHICAGO,IL,"CHICAGO, IL (3901)",Air,Conveyances,Air,2543
