FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2024,Remaining,APR,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Travelers,Pedestrians,280
2023,FYTD,NOV,Northern Border,BOSTON,NH,MANCHESTER AIRPORT (0182),Air,Travelers,Air,85
2022,FYTD,OCT,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Trucks,778
2022,FYTD,DEC,Northern Border,SEATTLE,MN,"GRAND PORTAGE, MN (3613)",Air,Travelers,Air,1
2024,FYTD,OCT,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Conveyances,Passenger Vehicles,47697
2023,Remaining,MAY,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Travelers,Air,19051
2022,FYTD,OCT,Northern Border,PORTLAND,AK,"ANCHORAGE, AK (3126)",Air,Conveyances,Air,2425
2022,Remaining,AUG,Southern Border,SAN DIEGO,CA,"TECATE, CA (2505)",Land,Conveyances,Passenger Vehicles,88576
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"PEMBINA, ND (3401)",Air,Travelers,Air,20
2022,Remaining,JUL,Northern Border,PORTLAND,AK,"KETCHIKAN, AK (3102)",Land,Travelers,Passenger Vehicles,205
2022,Remaining,AUG,Northern Border,BOSTON,ME,"VANCEBORO, ME (0105)",Land,Travelers,Trucks,72
2024,Remaining,APR,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Conveyances,Passenger Vehicles,58902
2022,Remaining,SEP,Northern Border,BOSTON,VT,"DERBY LINE, VT (0209)",Land,Travelers,Pedestrians,2488
2023,FYTD,OCT,Northern Border,SEATTLE,MT,"MORGAN, MT (3319)",Land,Travelers,Trucks,21
2023,Remaining,AUG,Coastal/Interior,MIAMI,FL,"KEY WEST, FL (5202)",Air,Travelers,Air,96
2023,FYTD,DEC,Preclearance,PRECLEARANCE,DC,USCBP BERMUDA PRECLEAR (7421),Air,Conveyances,Air,124
2023,Remaining,JAN,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Land,Travelers,Trucks,1096
2023,Remaining,MAR,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Conveyances,Trucks,225
2024,Remaining,AUG,Northern Border,SEATTLE,WA,"DANVILLE, WA (3012)",Land,Conveyances,Passenger Vehicles,2323
2022,FYTD,NOV,Northern Border,SEATTLE,MN,"GRAND PORTAGE, MN (3613)",Land,Conveyances,Trucks,877
2022,Remaining,JUL,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Pedestrians,24
2022,FYTD,DEC,Northern Border,SEATTLE,ND,"PEMBINA, ND (3401)",Land,Conveyances,Trucks,18386
2022,Remaining,SEP,Coastal/Interior,HOUSTON,TX,"HOUSTON, TX (5301)",Air,Conveyances,Air,1
2022,Remaining,MAR,Northern Border,SEATTLE,MT,"WHITLASH, MT (3321)",Land,Conveyances,Passenger Vehicles,43
2024,Remaining,APR,Coastal/Interior,NEW ORLEANS,TN,"NASHVILLE, TN (2007)",Air,Travelers,Air,10658
2022,FYTD,OCT,Northern Border,SEATTLE,ND,"ANTLER, ND (3413)",Land,Travelers,Trucks,216
2022,Remaining,MAR,Coastal/Interior,CHICAGO,MN,"DULUTH, MN (3510)",Air,Conveyances,Air,10
2022,Remaining,AUG,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Travelers,Trucks,6
2024,FYTD,NOV,Northern Border,BOSTON,RI,"PROVIDENCE, RI (0502)",Air,Travelers,Air,423
2022,Remaining,SEP,Coastal/Interior,CHICAGO,MN,"MINNEAPOLIS-ST. PAUL, MN (3501)",Air,Conveyances,Air,315
2024,FYTD,DEC,Northern Border,SEATTLE,MT,"OPHEIM, MT (3317)",Land,Travelers,Trucks,6
2022,Remaining,FEB,Southern Border,LAREDO,TX,"RIO GRANDE CITY, TX (2307)",Land,Travelers,Trucks,3954
2024,Remaining,APR,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Travelers,Passenger Vehicles,10829
2022,FYTD,OCT,Coastal/Interior,HOUSTON,TX,"AMARILLO, TX (5502)",Air,Conveyances,Air,5
2022,Remaining,SEP,Northern Border,SEATTLE,MT,"RAYMOND, MT (3301)",Land,Travelers,Trucks,1177
2022,Remaining,APR,Southern Border,EL PASO,TX,"EL PASO, TX (2402)",Land,Travelers,Trucks,12156
2023,Remaining,JUN,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Travelers,Pedestrians,10
2022,FYTD,NOV,Southern Border,TUCSON,AZ,"TUCSON, AZ (2609)",Air,Conveyances,Air,237
2022,FYTD,OCT,Northern Border,BOSTON,ME,"BRIDGEWATER, ME (0127)",Land,Travelers,Trucks,285
2022,Remaining,FEB,Coastal/Interior,SAN JUAN,PR,"SAN JUAN, PR (4909)",Air,Conveyances,Air,113
2022,FYTD,DEC,Coastal/Interior,BALTIMORE,NJ,"USR FEE,ATLANTIC CITY,NJ (1182)",Air,Travelers,Air,388
2025 (FYTD),FYTD,NOV,Northern Border,PORTLAND,WY,"CASPER, WYOMING (3332)",Air,Conveyances,Air,17
2024,Remaining,JUN,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Air,Conveyances,Air,1
2024,Remaining,AUG,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Travelers,Trucks,70
2025 (FYTD),FYTD,DEC,Coastal/Interior,BALTIMORE,PA,"WILKES-BARRE/SCRANTON,PA (1106)",Air,Travelers,Air,4
2024,FYTD,DEC,Preclearance,PRECLEARANCE,DC,USCBP ARUBA PRECLEAR (7424),Air,Conveyances,Air,638
2023,Remaining,JUN,Northern Border,BOSTON,MA,"NEW BEDFORD, MA (0405)",Air,Conveyances,Air,21
2022,Remaining,MAY,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Travelers,Trucks,39
2022,Remaining,FEB,Coastal/Interior,LOS ANGELES,CA,VAN NUYS AIRPORT (2788),Air,Travelers,Air,829
2022,Remaining,JUN,Northern Border,BOSTON,MA,"SPRINGFIELD, MA (0402)",Air,Conveyances,Air,1
2024,Remaining,MAY,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Conveyances,Passenger Vehicles,7104
2023,Remaining,MAR,Coastal/Interior,HOUSTON,TX,"PORT ARTHUR, TX (2101)",Air,Conveyances,Air,1
2023,Remaining,MAY,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Travelers,Passenger Vehicles,803236
2022,Remaining,FEB,Northern Border,SEATTLE,MT,"WILDHORSE, MT (3323)",Land,Travelers,Trucks,151
2024,Remaining,SEP,Southern Border,SAN DIEGO,CA,CALEXICO-EAST (2507),Land,Travelers,Trucks,38064
2024,Remaining,JUN,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Air,Travelers,Air,65
2024,FYTD,OCT,Coastal/Interior,MIAMI,FL,FT LAUDERDALE INTL AIRPT (5210),Air,Conveyances,Air,3110
2024,Remaining,MAY,Northern Border,BOSTON,ME,"VANCEBORO, ME (0105)",Land,Travelers,Trucks,47
2024,FYTD,OCT,Southern Border,EL PASO,NM,"COLUMBUS, NM (2406)",Land,Conveyances,Trucks,2540
2022,Remaining,FEB,Coastal/Interior,BALTIMORE,PA,"PITTSBURGH, PA (1104)",Air,Travelers,Air,2061
2022,Remaining,JUN,Northern Border,PORTLAND,CO,JEFFCO USER FEE AIRPORT (3383),Air,Conveyances,Air,20
2023,Remaining,JUL,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Conveyances,Passenger Vehicles,70616
2024,Remaining,MAY,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Travelers,Trucks,64
2023,Remaining,JUN,Coastal/Interior,CHICAGO,MO,"KANSAS CITY, MO (4501)",Air,Conveyances,Air,66
2024,FYTD,OCT,Northern Border,SEATTLE,WA,GRANT COUNTY AIRPORT (3082),Air,Conveyances,Air,20
2022,FYTD,OCT,Coastal/Interior,ATLANTA,GA,SOUTH ATLANTIC CMC (1700),Air,Travelers,Air,35
2024,Remaining,JUL,Southern Border,LAREDO,TX,VALLEY INTL AIRPORT  UFA (2383),Air,Conveyances,Air,62
2022,Remaining,AUG,Coastal/Interior,SAN JUAN,PR,"FAJARDO, PR (4904)",Air,Conveyances,Air,30
2024,Remaining,SEP,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Travelers,Trucks,6073
2025 (FYTD),FYTD,OCT,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Conveyances,Passenger Vehicles,17659
2024,Remaining,APR,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Air,Travelers,Air,3
2022,Remaining,MAR,Coastal/Interior,SAN JUAN,PR,"AGUADILLA, PR (4901)",Air,Conveyances,Air,245
2024,Remaining,MAY,Coastal/Interior,SAN JUAN,PR,"FAJARDO, PR (4904)",Air,Conveyances,Air,14
2023,Remaining,JAN,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Conveyances,Trucks,36531
2023,Remaining,JUN,Northern Border,PORTLAND,CO,ARAPAHOE CNTY PUBL AIRPT (3384),Air,Conveyances,Air,31
2022,Remaining,AUG,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Conveyances,Passenger Vehicles,6485
2023,Remaining,SEP,Coastal/Interior,NEW ORLEANS,AR,"LITTLE ROCK, AR (2003)",Air,Travelers,Air,25
2023,Remaining,APR,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Land,Travelers,Trucks,4163
2022,Remaining,MAY,Northern Border,SEATTLE,WA,"DANVILLE, WA (3012)",Land,Conveyances,Passenger Vehicles,728
2024,Remaining,SEP,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Air,Travelers,Air,8
2023,Remaining,JUN,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Travelers,Air,515135
2023,FYTD,OCT,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Land,Conveyances,Trucks,3318
2022,Remaining,JAN,Northern Border,BOSTON,VT,"BURLINGTON, VT (0207)",Air,Travelers,Air,78
2024,Remaining,JUL,Northern Border,BOSTON,VT,"BURLINGTON, VT (0207)",Air,Conveyances,Air,139
2022,Remaining,SEP,Northern Border,BOSTON,MA,"WORCESTER, MA (0403)",Air,Conveyances,Air,2
2022,Remaining,MAY,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Trucks,229
2024,Remaining,FEB,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Land,Conveyances,Passenger Vehicles,7566
2023,Remaining,SEP,Northern Border,SEATTLE,WA,"LAURIER, WA (3016)",Land,Travelers,Pedestrians,48
2023,Remaining,MAY,Southern Border,TUCSON,AZ,"NACO, AZ (2603)",Land,Conveyances,Passenger Vehicles,28878
2023,Remaining,FEB,Northern Border,DETROIT,MI,"ALGONAC, MI (3814)",Land,Travelers,Passenger Vehicles,2643
2022,Remaining,AUG,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Air,Conveyances,Air,1
2023,Remaining,SEP,Northern Border,BOSTON,NH,"PORTSMOUTH, NH (0131)",Air,Conveyances,Air,35
2022,Remaining,AUG,Coastal/Interior,LOS ANGELES,CA,ONTARIO INTL AIRPORT (2721),Air,Conveyances,Air,53
2023,FYTD,NOV,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Passenger Vehicles,12503
2022,Remaining,FEB,Southern Border,TUCSON,AZ,WILLIAMS GATEWAY AIRPORT (2682),Air,Travelers,Air,26
2023,Remaining,FEB,Coastal/Interior,ATLANTA,NC,"CHARLOTTE, NC (1512)",Air,Travelers,Air,114064
2022,Remaining,MAY,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Conveyances,Passenger Vehicles,11502
2022,Remaining,MAY,Coastal/Interior,ATLANTA,WV,"CHARLESTON, WV (1409)",Air,Conveyances,Air,1
2023,FYTD,OCT,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Air,Conveyances,Air,15
2025 (FYTD),FYTD,DEC,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Land,Travelers,Passenger Vehicles,116654
2023,Remaining,SEP,Coastal/Interior,TAMPA,FL,ORLANDO EXECUTIVE AIRPT (1888),Air,Conveyances,Air,32
2022,FYTD,DEC,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Travelers,Trucks,544
2022,FYTD,NOV,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Pedestrians,463
2024,Remaining,MAR,Northern Border,SEATTLE,ND,"HANNAH, ND (3408)",Land,Conveyances,Trucks,2
2023,FYTD,DEC,Southern Border,LAREDO,TX,VALLEY INTL AIRPORT  UFA (2383),Air,Conveyances,Air,35
2023,Remaining,MAR,Southern Border,TUCSON,AZ,"DOUGLAS, AZ (2601)",Air,Travelers,Air,9
2022,Remaining,JUN,Coastal/Interior,NEW YORK,NY,JOHN F KENNEDY AIRPORT (4701),Air,Conveyances,Air,6548
2023,Remaining,MAR,Coastal/Interior,CHICAGO,NE,"OMAHA, NE (3512)",Air,Travelers,Air,174
2024,Remaining,AUG,Northern Border,DETROIT,MI,"SAULT STE. MARIE, MI (3803)",Land,Travelers,Trucks,2761
2022,Remaining,MAY,Coastal/Interior,LOS ANGELES,CA,PALM SPRINGS USER FEE (2781),Air,Conveyances,Air,56
2023,Remaining,JAN,Northern Border,SEATTLE,WA,"BELLINGHAM, WA (3005)",Air,Conveyances,Air,61
2024,Remaining,JUN,Coastal/Interior,BALTIMORE,PA,PHILA. INTL. AIRPORT (1108),Air,Travelers,Air,173969
2023,Remaining,SEP,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Land,Travelers,Pedestrians,593
2022,Remaining,SEP,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Pedestrians,89503
2022,Remaining,MAR,Coastal/Interior,MIAMI,FL,MIAMI INTL AIRPORT (5206),Air,Conveyances,Air,9342
2022,Remaining,JUL,Coastal/Interior,CHICAGO,IA,"DES MOINES, IA (3513)",Air,Travelers,Air,86
2023,Remaining,JUL,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Travelers,Passenger Vehicles,485
2022,Remaining,JUN,Coastal/Interior,TAMPA,FL,LEESBURG REGIONAL AIRPT (1887),Air,Conveyances,Air,5
2022,Remaining,FEB,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Travelers,Passenger Vehicles,96662
2024,Remaining,AUG,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Trucks,365
2022,Remaining,AUG,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Air,Travelers,Air,81
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Travelers,Trucks,239
2024,Remaining,AUG,Northern Border,SEATTLE,MT,"WILLOW CREEK, MT (3325)",Land,Travelers,Pedestrians,25
2022,Remaining,FEB,Coastal/Interior,ATLANTA,GA,"BRUNSWICK, GA (1701)",Air,Conveyances,Air,3
2025 (FYTD),FYTD,OCT,Coastal/Interior,HOUSTON,TX,"AUSTIN, TX (5506)",Air,Travelers,Air,39772
2022,Remaining,FEB,Coastal/Interior,SAN FRANCISCO,CA,SAN JOSE INTL AIRPORT (2834),Air,Travelers,Air,19145
2024,Remaining,AUG,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Conveyances,Passenger Vehicles,28034
2023,FYTD,NOV,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Travelers,Pedestrians,3
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Conveyances,Passenger Vehicles,234
2024,Remaining,FEB,Northern Border,SEATTLE,WA,"LAURIER, WA (3016)",Land,Conveyances,Passenger Vehicles,1616
2024,Remaining,AUG,Coastal/Interior,HOUSTON,OK,"OKLAHOMA CITY, OK (5504)",Air,Travelers,Air,56
2024,Remaining,JUN,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Travelers,Trucks,21709
2023,FYTD,DEC,Coastal/Interior,LOS ANGELES,CA,LOS ANGELES INT ARPT (2720),Air,Conveyances,Air,4421
2023,Remaining,JUL,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Travelers,Trucks,147
2022,FYTD,NOV,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Travelers,Passenger Vehicles,88
2024,Remaining,JAN,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Travelers,Pedestrians,1257
2023,Remaining,MAY,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Travelers,Pedestrians,92927
2023,Remaining,JUN,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Conveyances,Trucks,119
2024,FYTD,DEC,Coastal/Interior,CHICAGO,OH,"DAYTON, OH (4104)",Air,Conveyances,Air,12
2024,Remaining,MAY,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Air,Conveyances,Air,1
2023,Remaining,JUL,Coastal/Interior,MIAMI,FL,MARATHON INTL ARPT (5281),Air,Travelers,Air,51
2025 (FYTD),FYTD,NOV,Coastal/Interior,SAN FRANCISCO,UT,"SALT LAKE CITY, UT (3303)",Air,Travelers,Air,36348
2022,Remaining,MAY,Northern Border,SEATTLE,MT,"WILLOW CREEK, MT (3325)",Land,Travelers,Pedestrians,2
2024,Remaining,JUN,Northern Border,PORTLAND,AK,"ALCAN, AK (3104)",Land,Conveyances,Trucks,949
2023,Remaining,APR,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Land,Travelers,Pedestrians,1
2022,Remaining,MAR,Northern Border,PORTLAND,AK,"ANCHORAGE, AK (3126)",Air,Travelers,Air,9476
2024,FYTD,DEC,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Travelers,Pedestrians,391
2024,FYTD,OCT,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Land,Conveyances,Trucks,759
2023,Remaining,FEB,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Travelers,Pedestrians,15241
2022,Remaining,JUL,Coastal/Interior,TAMPA,FL,"ST. PETERSBURG, FL (1814)",Air,Conveyances,Air,61
2023,Remaining,JUL,Coastal/Interior,CHICAGO,OH,"DAYTON, OH (4104)",Air,Travelers,Air,89
2024,FYTD,NOV,Southern Border,EL PASO,NM,SANTA TERESA (2408),Air,Travelers,Air,106
2022,Remaining,JUL,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Travelers,Pedestrians,9
2022,Remaining,MAR,Coastal/Interior,ATLANTA,GA,"ATLANTA, GA (1704)",Air,Travelers,Air,347061
2023,Remaining,MAY,Northern Border,BOSTON,ME,"FORT KENT, ME (0110)",Land,Conveyances,Passenger Vehicles,5981
2022,Remaining,MAY,Coastal/Interior,SAN FRANCISCO,GU,GUAM (3207),Air,Conveyances,Air,266
2024,FYTD,OCT,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Conveyances,Trucks,3789
2024,Remaining,JAN,Coastal/Interior,CHICAGO,IA,"DES MOINES, IA (3513)",Air,Conveyances,Air,9
2024,FYTD,DEC,Northern Border,SEATTLE,ND,"WALHALLA, ND (3407)",Land,Travelers,Trucks,552
2023,Remaining,AUG,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Travelers,Air,16604
2024,FYTD,DEC,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Land,Travelers,Pedestrians,1506
2023,Remaining,FEB,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Travelers,Trucks,57839
2024,Remaining,AUG,Coastal/Interior,SAN FRANCISCO,GU,GUAM (3207),Air,Conveyances,Air,659
2023,FYTD,NOV,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Conveyances,Passenger Vehicles,386084
2022,Remaining,JUL,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Travelers,Pedestrians,8494
2024,FYTD,OCT,Coastal/Interior,CHICAGO,OH,"CINCINNATI, OH (4102)",Air,Travelers,Air,8576
2024,Remaining,MAY,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Air,Travelers,Air,198
2023,FYTD,DEC,Northern Border,BOSTON,ME,"VAN BUREN, ME (0108)",Land,Conveyances,Trucks,1506
2022,Remaining,MAY,Coastal/Interior,HOUSTON,OK,"OKLAHOMA CITY, OK (5504)",Air,Travelers,Air,19
2023,Remaining,MAY,Northern Border,SEATTLE,ND,"WALHALLA, ND (3407)",Land,Conveyances,Passenger Vehicles,1532
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,WA,"BLAINE, WA (3004)",Land,Travelers,Passenger Vehicles,573890
2024,FYTD,NOV,Coastal/Interior,SAN FRANCISCO,CA,SAN JOSE INTL AIRPORT (2834),Air,Travelers,Air,28146
2024,Remaining,SEP,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Travelers,Trucks,4020
2022,FYTD,OCT,Northern Border,SEATTLE,WA,"POINT ROBERTS, WA (3017)",Land,Travelers,Trucks,127
2023,Remaining,JUL,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,87
2025 (FYTD),FYTD,DEC,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Land,Travelers,Trucks,5273
2022,Remaining,MAY,Northern Border,SEATTLE,MT,"ROOSVILLE, MT (3318)",Land,Conveyances,Trucks,805
2022,FYTD,OCT,Coastal/Interior,CHICAGO,IL,DUPAGE AIRPORT AUTH. (3984),Air,Travelers,Air,64
2025 (FYTD),FYTD,OCT,Coastal/Interior,ATLANTA,GA,"SAVANNAH, GA (1703)",Air,Travelers,Air,257
2023,FYTD,OCT,Coastal/Interior,CHICAGO,WI,"SHEBOYGAN, WI (3707)",Air,Travelers,Air,27
2025 (FYTD),FYTD,DEC,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Conveyances,Trucks,11656
2023,Remaining,AUG,Coastal/Interior,LOS ANGELES,CA,LOS ANGELES INT ARPT (2720),Air,Travelers,Air,1030298
2023,Remaining,MAR,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Pedestrians,8
2024,Remaining,JUL,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Travelers,Passenger Vehicles,9631
2024,FYTD,NOV,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Conveyances,Passenger Vehicles,1204
2024,FYTD,DEC,Northern Border,BOSTON,ME,"FORT KENT, ME (0110)",Land,Travelers,Trucks,757
2024,FYTD,OCT,Coastal/Interior,CHICAGO,MN,ROCHESTER MN (3581),Air,Conveyances,Air,22
2025 (FYTD),FYTD,DEC,Coastal/Interior,CHICAGO,OH,DHL COURIER (4197),Air,Conveyances,Air,500
2024,Remaining,SEP,Northern Border,BOSTON,MA,HANSCOM USER FEE AIRPORT (0481),Air,Conveyances,Air,150
2023,Remaining,MAR,Coastal/Interior,TAMPA,FL,NOT ACTIVE (1881),Air,Conveyances,Air,17
2023,Remaining,JUL,Southern Border,SAN DIEGO,CA,OTAY MESA (2506),Land,Travelers,Pedestrians,286205
2023,Remaining,JUN,Preclearance,PRECLEARANCE,DC,USCBP EDMONTON PRECLEAR (7924),Air,Travelers,Air,25356
2023,Remaining,SEP,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Travelers,Air,162
2024,Remaining,MAY,Coastal/Interior,ATLANTA,NC,"DURHAM, NC (1503)",Air,Travelers,Air,15933
2022,Remaining,APR,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Conveyances,Air,17
2024,Remaining,MAY,Northern Border,BOSTON,ME,"BANGOR, ME (0102)",Air,Travelers,Air,815
2023,Remaining,FEB,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Travelers,Passenger Vehicles,680
2023,FYTD,OCT,Southern Border,SAN DIEGO,CA,"SAN DIEGO, CA (2501)",Air,Travelers,Air,25439
2024,Remaining,SEP,Coastal/Interior,HOUSTON,TX,FORT WORTH ALLIANCE  AP (5583),Air,Travelers,Air,151
2024,Remaining,AUG,Coastal/Interior,SAN JUAN,VI,ST. THOMAS (PRE-INSPECTION) (7401),Air,Conveyances,Air,854
2024,Remaining,JUN,Coastal/Interior,ATLANTA,GA,"ATLANTA, GA (1704)",Air,Travelers,Air,634843
2023,Remaining,AUG,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Conveyances,Passenger Vehicles,8820
2023,FYTD,DEC,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Conveyances,Air,109
2024,FYTD,NOV,Northern Border,SEATTLE,ND,HECTOR INTERNATIONAL AIRPORT (3411),Air,Conveyances,Air,46
2023,Remaining,AUG,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Conveyances,Passenger Vehicles,65869
2023,Remaining,FEB,Southern Border,EL PASO,NM,"COLUMBUS, NM (2406)",Land,Conveyances,Trucks,501
2022,Remaining,AUG,Northern Border,BOSTON,ME,"BANGOR, ME (0102)",Air,Travelers,Air,1595
2023,Remaining,JUN,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Travelers,Trucks,29
2023,Remaining,APR,Northern Border,BOSTON,NH,"PORTSMOUTH, NH (0131)",Air,Conveyances,Air,37
2023,Remaining,APR,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Land,Travelers,Pedestrians,561
2023,FYTD,OCT,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Conveyances,Passenger Vehicles,776
2022,Remaining,AUG,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Travelers,Pedestrians,13
2022,FYTD,DEC,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Travelers,Air,352395
2024,Remaining,AUG,Northern Border,SEATTLE,MT,"ROOSVILLE, MT (3318)",Land,Conveyances,Trucks,1006
2025 (FYTD),FYTD,NOV,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Travelers,Trucks,69
2022,Remaining,MAR,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Travelers,Trucks,19528
2022,Remaining,APR,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Pedestrians,103885
2023,Remaining,FEB,Coastal/Interior,NEW ORLEANS,TN,"NASHVILLE, TN (2007)",Air,Travelers,Air,4966
2023,Remaining,JAN,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Travelers,Passenger Vehicles,81
2024,Remaining,JUN,Coastal/Interior,HOUSTON,TX,CONROE-NORTH (CXO) (5382),Air,Conveyances,Air,37
2024,FYTD,DEC,Northern Border,SEATTLE,WA,"BLAINE, WA (3004)",Land,Travelers,Pedestrians,31237
2024,FYTD,DEC,Coastal/Interior,ATLANTA,SC,"CHARLESTON, SC (1601)",Air,Travelers,Air,297
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,VT,"NORTON, VT (0211)",Land,Travelers,Passenger Vehicles,1325
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,WA,"LAURIER, WA (3016)",Land,Travelers,Trucks,397
2024,Remaining,MAY,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Travelers,Pedestrians,26
2023,Remaining,JUL,Northern Border,SEATTLE,ND,"SARLES, ND (3409)",Land,Travelers,Pedestrians,3
